,ext,neu,agr,con,opn,success
140,1,1,0,1,1,0
141,1,1,0,0,1,1
142,1,1,0,0,1,0
143,1,1,0,0,1,1
144,1,1,0,0,1,1
145,1,1,0,1,1,1
146,1,1,1,0,1,0
147,1,1,0,0,1,1
148,0,1,0,0,1,1
149,0,1,0,0,1,1
150,0,1,0,1,1,0
151,1,1,0,1,1,0
152,1,1,0,0,1,1
153,1,1,0,0,1,1
154,1,1,0,0,1,0
155,1,1,0,0,1,0
156,1,1,0,0,1,1
157,0,1,0,0,1,1
158,1,1,0,1,1,0
159,1,1,0,0,1,0
160,1,1,0,0,1,1
161,1,1,0,0,1,1
162,1,1,0,0,1,1
163,1,1,0,0,1,0
164,0,1,1,1,1,0
165,1,1,0,0,1,1
166,1,1,0,1,1,0
167,1,1,0,0,1,1
168,1,1,0,0,1,0
169,1,1,0,1,1,1
170,1,1,0,0,1,0
171,0,1,0,1,1,0
172,1,1,0,1,1,0
173,1,1,0,0,1,1
174,0,1,0,1,1,0
175,1,1,0,0,1,0
176,1,1,0,0,1,1
177,0,1,0,1,1,0
178,1,1,0,1,1,0
179,1,1,1,1,1,1
180,1,1,0,0,1,0
181,1,1,0,0,1,1
182,0,1,0,0,1,1
183,1,1,1,0,1,1
184,1,1,0,0,1,1
185,1,1,0,0,1,0
186,1,1,0,0,1,1
187,1,1,0,0,1,1
188,1,1,0,0,1,1
189,1,1,0,1,1,0
190,1,1,0,0,1,1
191,1,1,0,0,1,1
192,1,1,0,0,1,0
193,1,1,0,0,1,1
194,1,1,0,0,1,1
195,1,1,0,1,1,0
196,1,1,0,0,1,1
197,1,1,0,0,1,0
198,1,1,0,0,1,1
199,1,1,0,0,1,1
200,1,1,0,0,1,0
201,1,1,0,1,1,1
202,1,1,0,1,1,1
203,1,1,0,0,1,0
204,1,1,0,0,1,0
205,1,1,0,1,1,0
206,0,1,1,1,1,1
207,1,1,0,0,1,1
208,1,1,0,0,1,1
209,1,1,0,0,1,1
210,1,1,0,0,1,1
211,1,1,0,0,1,1
212,0,1,0,0,1,1
213,1,1,0,1,1,1
214,1,1,0,0,1,1
215,1,1,0,0,1,1
216,1,1,0,0,1,1
217,0,1,0,0,1,1
218,0,1,1,0,1,1
219,1,1,0,1,1,1
220,0,1,0,0,1,1
221,1,1,0,0,1,1
222,0,1,0,0,1,1
223,1,1,0,0,1,1
224,1,1,0,0,1,1
225,0,1,0,0,1,1
226,1,1,0,0,1,1
227,1,1,0,0,1,1
228,0,1,0,1,1,1
229,1,1,1,1,1,1
230,1,1,0,1,1,1
231,1,1,0,0,1,1
232,1,1,0,0,1,1
233,1,1,0,0,1,1
234,1,1,1,0,1,1
235,1,1,0,0,1,1
236,1,1,0,1,1,1
237,0,1,0,1,1,1
238,0,1,0,0,1,1
239,1,1,0,0,1,1
240,1,1,0,0,1,1
241,1,1,0,0,1,1
242,1,1,0,0,1,1
243,1,1,0,0,1,0
244,1,1,0,0,1,0
245,1,1,0,0,1,0
246,1,1,0,0,1,0
247,1,1,0,0,1,0
248,1,1,1,0,1,0
249,0,1,0,0,1,0
250,1,1,0,0,1,0
251,1,1,0,0,1,0
252,1,1,0,0,1,0
253,1,1,0,1,1,0
254,0,1,0,0,1,0
255,1,1,0,0,1,0
256,1,1,0,0,1,0
257,0,1,0,0,1,0
258,1,1,0,0,1,0
259,1,1,0,0,1,0
260,1,1,0,1,1,0
261,1,1,0,0,1,0
262,1,1,0,0,1,0
263,1,1,0,1,1,0
264,1,1,0,0,1,0
265,1,1,1,1,1,0
266,1,1,1,0,1,0
267,1,1,0,0,1,0
268,1,1,0,0,1,0
269,1,1,0,0,1,0
270,0,1,0,0,1,0
271,0,1,1,1,1,0
272,1,1,0,0,1,0
273,1,1,0,0,1,0
274,1,1,1,1,1,0
275,1,1,1,0,1,0
276,1,1,0,0,1,0
277,1,1,0,0,1,0
278,1,1,0,0,1,0
279,1,1,1,0,1,0
280,1,1,0,0,1,0
281,1,1,0,1,1,0
282,1,1,0,0,1,0
283,1,1,0,0,1,0
284,0,1,1,1,1,0
285,1,1,0,0,1,0
286,1,1,0,0,1,0
287,1,1,0,0,1,0
288,1,1,0,0,1,0
289,1,1,0,0,1,0
290,1,1,0,0,1,0
291,1,1,0,1,1,0
292,0,1,0,1,1,0
293,1,1,0,0,1,0
294,1,1,0,0,1,0
295,1,1,0,0,1,0
296,1,1,1,0,1,0
297,1,1,0,0,1,0
